"UniqueName","LocalizedNames_EN-US","LocalizedNames_ES-ES","LocalizedDescriptions_EN-US","LocalizedDescriptions_ES-ES"
"UNIQUE_HIDEOUT","Hideout Construction Kit","Kit de construcción de escondites","Hideout construction kits are used to place Guild Hideouts in the Outlands.","Los kits de construcción de escondites se utilizan para colocar escondites de gremios en las Tierras Lejanas"
"T3_2H_TOOL_TRACKING","Journeyman's Tracking Toolkit","Kit de rastreo del obrero","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T4_2H_TOOL_TRACKING","Adept's Tracking Toolkit","Kit de rastreo del iniciado","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T5_2H_TOOL_TRACKING","Expert's Tracking Toolkit","Kit de rastreo del experto","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T6_2H_TOOL_TRACKING","Master's Tracking Toolkit","Kit de rastreo del maestro","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T7_2H_TOOL_TRACKING","Grandmaster's Tracking Toolkit","Kit de rastreo del gran maestro","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T8_2H_TOOL_TRACKING","Elder's Tracking Toolkit","Kit de rastreo del anciano","Use this tool to search for tracks in the open world.","Utiliza esta herramienta para buscar rastros en el mundo abierto."
"T1_FARM_CARROT_SEED","Carrot Seeds","Semillas de zanahoria","Carrot Seeds are used to plant a patch of Carrots.","Con semillas de zanahoria se plantan terrenos de zanahoria"
"T2_FARM_BEAN_SEED","Bean Seeds","Semillas de frijoles","Bean Seeds are used to plant a patch of Beans.","Con semillas de frijoles se plantan terrenos de frijoles"
"T3_FARM_WHEAT_SEED","Wheat Seeds","Semillas de trigo","Wheat Seeds are used to plant a patch of Wheat.","Con semillas de trigo se plantan terrenos de trigo"
"T4_FARM_TURNIP_SEED","Turnip Seeds","Semillas de rábano","Turnip Seeds are used to plant a patch of Turnips.","Con semillas de rábano se plantan terrenos de rábano"
"T5_FARM_CABBAGE_SEED","Cabbage Seeds","Semillas de col","Cabbage Seeds are used to plant a patch of Cabbages.","Con semillas de col se plantan terrenos de col"
"T6_FARM_POTATO_SEED","Potato Seeds","Semillas de patata","Potato Seeds are used to plant a patch of Potatoes","Con semillas de patata se plantan terrenos de patata"
